"DOY","Ta","Tw","SoilMoistureContent","Precipitation","deltaD","Taweek","Twweek","Dweek"
1,-0.398596191406227,-1.00100018092666,100,1.17060226330068,0.0109382349999994,1.96090523856029,2.34846356707495,9.78772586761905
2,0.383843994140648,2.11775567251007,100,1.29954923977493,0.0097158050000008,2.20142735072547,2.98857585672598,9.79493857309524
3,0.687524414062523,4.0044004828464,99.8782278080443,0.850341712066438,0.010577249999999,2.40852399553574,3.85137333984556,9.80306666142857
4,1.17888793945315,1.85359162911745,99.8681817485112,0.355930910700408,0.0114291233333308,2.3935006277902,3.41776895680588,9.81210272333333
5,7.44289550781252,9.65425773781175,100,5.62712484679651,0.0122707283333394,2.59356951032368,3.59272894457711,9.82203854119048
6,2.00295410156252,4.51493836271877,100,4.53187567472924,0.0131014050000005,1.74769199916297,3.09898639141228,9.83286511595238
7,-0.478857421874977,-2.18041817394625,100,1.8384251234238,0.0139205216666607,1.54552176339288,2.70907507573308,9.84457269714286
8,2.85683593750002,6.69248222733156,100,1.54884673975175,0.0147274833333402,2.01058349609377,3.80814399119854,9.85682159952381
9,5.22698364257815,5.22252148802695,100,0.778237699705642,0.0155217383333284,2.7024605887277,4.2516819648438,9.86989992095238
10,4.0380798339844,5.62894931783613,99.6824475704746,0.302671355711936,0.0163027650000007,3.18111136300225,4.48376036984234,9.88379617309524
11,1.67632446289065,3.31046736489075,99.2610021695591,0.00283189862670952,0.0170700866666706,3.25217372349333,4.69188547495281,9.89849827714286
12,7.56221923828127,10.215617308887,98.9837564918337,0.751131483411882,0.0178232600000001,3.26921997070315,4.77207969939213,9.9139936
13,12.9752136230469,12.6736250891299,100,31.0847273794934,0.0185618833333301,4.83668561662949,5.93760637459372,9.93026899119048
14,-2.62802734374998,-3.73260912395423,100,4.02741716243327,0.0192855983332993,4.52966134207592,5.71586481030687,9.94731082190476
15,-3.1903137207031,-4.69159642889009,100,3.75560157408472,0.01999408,3.66578281947547,4.08956785941806,9.96510502357142
16,-0.847784423828102,-1.46500515366486,100,2.34491908486234,0.0206870466666995,2.79795880998886,3.13420691060494,9.98363712642856
17,0.551873779296898,2.90390352305284,100,1.81402247108053,0.0213642533332994,2.29992937360493,2.74491465420733,10.0028922990476
18,0.916436767578148,2.13102882171367,100,3.3585172786843,0.0220254916667013,2.19137398856029,2.57642343375346,10.0228553866667
19,-2.16242065429685,-2.41830780838312,99.9073333333333,5.72382559766993,0.0226705949999992,0.802139718191988,0.771576988429158,10.0435109507143
20,-3.35516967773435,-3.72093340267492,99.822,3.80305755243171,0.0232994266666999,-1.53077218191962,-1.57050279611439,10.0648433066667
21,-2.7332824707031,-3.15255902620469,99.7186666666667,2.42735259234905,0.0239118916666001,-1.54580862862721,-1.48763849643588,10.0868365616667
22,-1.9968322753906,-3.12345366313556,99.684,1.42549679367221,0.0245079266667005,-1.37531127929685,-1.26361810132809,10.1094746519048
23,-0.998541259765602,-1.97771497535842,100,2.04591342480853,0.0250874966666998,-1.39684797014507,-1.33686236157003,10.1327413778571
24,-2.23129882812498,-2.47114371852998,99.864,1.44415407703491,0.0256506049999992,-1.79444405691962,-2.10472625322472,10.1566204397619
25,-1.86069335937498,-3.38726984626429,99.8566666666667,1.49588740896434,0.026197281666601,-2.19117693219864,-2.89305463436443,10.1810954716667
26,-0.276892089843727,-0.664796032766174,100,3.34174437739421,0.0267275849999997,-1.92181570870533,-2.64255295213343,10.2061500735714
27,-0.659124755859352,-1.53560259428277,100,2.31952326430473,0.0272416016667005,-1.53666643415176,-2.33036283664884,10.2317678433333
28,-0.597814941406227,-0.499271088500991,100,5.31622754351702,0.0277394399999995,-1.23159964425221,-1.95132170269117,10.2579324057143
29,-3.2572082519531,-3.77781069669621,99.9306666666667,4.60213013866451,0.0282212383333,-1.41165335518971,-2.04480127891412,10.2846274411905
30,-4.28885498046873,-4.25644111750311,99.8013333333333,3.01352301903535,0.0286871499999997,-1.88169817243301,-2.37033358493479,10.3118367128571
31,-2.49506225585935,-2.54160341950663,99.6566666666667,2.39021665038308,0.0291373566667001,-1.91937866210935,-2.38039925650288,10.3395440919047
32,-2.41632690429685,-4.17649069169705,99.6566666666667,0.736889023755793,0.0295720533333004,-1.99875488281248,-2.4931450915647,10.3677335811905
33,-1.41620483398435,-1.76922783262609,99.5313333333333,0.0245966617740123,0.0299914499999989,-2.16151384626114,-2.65092106297326,10.3963893369047
34,7.19854125976565,7.50948837127873,100,32.7268877299502,0.0303957816667015,-1.03899012974328,-1.35876521075019,10.4254956897619
35,0.189660644531273,-0.0226983422267582,100,3.99269192712381,0.0307852883333002,-0.926493617466494,-1.29068338985387,10.4550371638095
36,-4.16153564453123,-4.30832908380368,99.8946666666667,6.54812465654686,0.0311602266666995,-1.05568324497766,-1.36647173086923,10.4849984933333
37,-3.47220458984373,-3.13456918999972,99.712,3.28339301631786,0.0315208649999992,-0.939018903459798,-1.20620431265446,10.5153646392857
38,-1.54648437499998,-2.04107468968729,99.6006666666667,1.52114171214635,0.0318674783333002,-0.803507777622745,-1.13470020839455,10.546120802619
39,-2.2756408691406,-3.0680453946026,99.522,2.72706220130203,0.0322003533333994,-0.783409772600424,-0.976350880238201,10.5772524373809
40,-2.2476867675781,-2.65667498537756,99.3966666666667,1.93438008864177,0.0325197816666005,-0.90219290597096,-1.10312904491698,10.6087452623809
41,-1.79013671874998,-4.77990358233508,99.3966666666667,1.69122322404291,0.0328260583334004,-2.18628976004462,-2.85875646686181,10.6405852697619
42,-0.813970947265602,-3.17106856934423,100,1.23206691569067,0.0331194883333001,-2.32966570172989,-3.30852364216431,10.6727587342857
43,0.175134277343773,5.86553131766948,100,2.7058167688665,0.0334003749999994,-1.71014142717632,-1.85511501338243,10.70525222
44,-2.63913574218748,-2.54150431230421,99.8573333333333,2.24353698285995,0.033669025,-1.59113159179685,-1.77039145942593,10.7380525857143
45,-1.1126770019531,-2.05638778892722,99.816,3.18917409458663,0.0339257499999999,-1.52915910993301,-1.77257904503163,10.7711469902381
46,-0.932043457031227,-1.23895986433595,100,0.991537126537878,0.0341708516667012,-1.33721662248882,-1.5112811121364,10.8045228945238
47,-0.814276123046852,-2.01712033080082,100,0.180379504399752,0.03440464,-1.13244367327007,-1.41991616148258,10.8381680642857
48,2.80794677734377,7.1952470994307,100,1.75069671968231,0.0346274233332995,-0.475574602399531,0.29081965019825,10.8720705719048
49,2.48818359375002,6.9091463653948,100,0.124455004879565,0.0348394983332998,-0.00383823939729948,1.73085035516097,10.9062187952381
50,4.8388610839844,8.1158705751824,100,4.21386139350943,0.0350411683334002,0.662408447265647,2.05232739194853,10.9406014176191
51,7.62978515625002,10.0582690493851,100,58.7597896810621,0.0352327250000002,2.12939714704243,3.852295015047,10.9752074257143
52,12.8273254394531,12.5597075852673,100,14.8390798131004,0.0354144616665995,4.12082606724332,5.94030863993193,11.0100261069048
53,10.6787658691406,13.0296823442195,100,4.66901801701169,0.0355866583334006,5.77951311383929,7.978686098297,11.0450470461905
54,5.67839965820315,9.16845432272356,100,6.52241506031714,0.0357495950000004,6.70703822544644,9.57662533451477,11.0802601219048
55,0.369805908203148,7.20559345314856,100,5.47129020560533,0.035903545,6.35873238699778,9.57810338504589,11.1156555007143
56,0.612725830078148,6.59640730785364,100,4.47552483819891,0.0360487733332988,6.09080984933037,9.53342637682572,11.1512236330953
57,1.13958129882815,6.31358046298738,100,1.98466550500598,0.0361855349999995,5.56234130859376,9.27595636079786,11.1869552464286
58,4.27068481445315,7.27940134153344,100,10.2238038380165,0.0363140800000004,5.08246983119421,8.8789752596762,11.2228413390476
59,2.44646606445315,6.36897399933397,100,5.33877027919516,0.0364346483332998,3.59948992047993,7.99458474740001,11.2588731726191
60,1.20247802734377,7.68982491388767,100,3.22067135130055,0.0365474783334001,2.24573451450895,7.23174797163832,11.2950422661905
61,2.91936645507815,9.346219203775,98.922727487933,0.528091231899452,0.0366527866666004,1.85158691406252,7.25714295464567,11.3313403871429
62,5.65102539062502,5.59589642213884,98.7354283968158,0.0640513633243245,0.0367507933334004,2.60604684012279,7.02718623592999,11.3677595435714
63,9.5142761230469,11.4754532350221,100,3.8398622564273,0.0368417016665994,3.87769688197547,7.72419279695406,11.4042919754762
64,12.1014343261719,15.9527158520078,99.2794995312571,1.32424929688568,0.0369257083334009,5.44367588588172,9.10121213824269,11.4409301464286
65,13.2723937988281,17.2437963076609,100,5.7078283134615,0.0370029983332998,6.729634312221,10.5246971334038,11.4776667342857
66,8.23287353515627,8.34279278410275,100,11.201197776245,0.0370737533332992,7.55626395089287,10.8066712455136,11.5144946228571
67,1.85616455078127,6.30678618672493,99.8292537406404,0.994880610960536,0.0371381350000011,7.64964773995537,10.6090942844903,11.5514068909524
68,3.5170837402344,8.44729938075007,100,4.33328823419288,0.0371963016666985,7.73503592354912,10.4806771669153,11.5883968040476
69,2.3876892089844,10.0008907247919,100,6.55507828923874,0.0372484016667016,7.26884504045761,11.1099620672944,11.6254578040476
70,-0.248541259765602,0.250573439518432,100,5.45351722394116,0.0372945699999985,5.87415684291296,9.50640781079383,11.6625834995238
71,-0.981024169921852,-0.640109777283219,99.858717072955,0.153075609432562,0.0373349350000005,4.00523420061386,7.13600414946654,11.6997676559524
72,4.55770263671877,8.02846353934615,100,3.60660851583816,0.0373696133333006,2.76027832031252,5.81952803970729,11.7370041859524
73,7.79647216796877,8.62946388129666,100,6.24298409093171,0.0373987099999997,2.69793526785717,5.86048105359213,11.7742871383333
74,1.93374023437502,10.1363962261689,99.7373618169042,2.1520427253563,0.0374223199999992,2.70901750837056,6.40756820208413,11.8116106885714
75,1.29610595703127,9.25393393907044,99.3272392312555,1.71781612152699,0.0374405283333008,2.39173496791297,6.52280171041561,11.8489691283333
76,1.88045654296877,6.20004841798534,98.6283654176853,0.411689279644634,0.0374534166667004,2.31927315848216,5.97982423801467,11.8863568559524
77,4.60454711914065,8.93469128108578,98.6245715671314,1.68630922416924,0.0374610416666989,3.01257149832591,7.22041250109572,11.9237683652381
78,8.8872009277344,10.2240082602554,100,13.9391690026969,0.0374634666666012,4.42231794084824,8.77242936360124,11.9611982361905
