WK,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,NC,0,0,0,0,0,0,0,0,0,NC
2,NC,0,0,0,0,0,0,0,0,0,0
3,NC,0,0,0,0,0,0,0,0,0,0
4,NC,0,0,0,0,0,0,0,0,0,0
5,NC,0,0,0,0,0,0,0,0,0,0
6,NC,0,0,0,0,0,0,0,0,0,0
7,NC,0,0,0,0,0,0,0,0,0,0
8,NC,0,0,0,0,0,0,0,0,0,0
9,NC,0,0,0,0,0,0,0,0,0,0
10,NC,0,0,0,0,0,0,0,0,0,0
11,NC,2,0,0,0,0,1,0,0,0,4
12,NC,0,0,0,0,0,0,0,0,0,3
13,NC,0,0,0,1,0,0,0,0,3,11
14,NC,0,1,0,0,0,0,0,1,1,152
15,NC,0,0,0,10,1,0,0,0,13,33
16,NC,1,0,1,1,1,0,1,0,2,8
17,NC,0,0,0,6,1,1,0,1,6,2
18,0,0,1,0,1,0,0,0,NC,11,6
19,0,1,0,1,9,1,0,3,2,5,2
20,5,5,8,3,,0,0,0,3,5,3
21,2,7,20,5,15,3,1,9,10,8,15
22,2,18,10,6,19,0,0,13,9,22,7
23,10,6,9,19,3,7,0,16,NC,108,48
24,13,21,2,15,10,10,15,14,9,81,240
25,168,6,21,12,5,50,8,10,16,2,61
26,76,3,11,68,7,28,11,61,74,67,NC
27,27,15,19,33,174,5,7,32,54,121,38
28,25,3,12,10,150,19,3,17,18,12,82
29,29,6,29,22,64,37,14,14,25,58,67
30,43,1,12,22,63,18,5,8,21,22,105
31,35,5,5,43,33,107,16,2,53,6,43
32,6,1,8,130,11,5,15,1,18,38,20
33,11,8,12,19,16,5,0,36,21,NC,NC
34,21,11,0,12,7,12,3,1,NC,4,8
35,13,0,2,20,6,2,0,2,13,0,16
36,5,0,0,5,10,1,2,4,5,30,9
37,9,0,1,3,3,0,4,4,0,13,20
38,11,5,2,3,27,10,0,3,23,1,8
39,0,0,3,1,1,2,7,0,5,11,6
40,3,0,7,0,6,3,6,3,10,5,4
41,0,0,3,0,3,1,0,0,6,2,4
42,0,1,1,0,2,1,0,3,12,1,1
43,0,0,1,0,1,0,0,0,7,0,3
44,0,0,0,0,0,1,0,0,5,0,0
45,0,0,0,0,2,1,1,0,2,0,0
46,0,0,0,0,1,0,0,0,1,0,0
47,0,0,1,0,1,0,0,0,0,0,0
48,0,0,0,0,1,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
